Iteration 0, D_loss = 1.0876,G_loss = 1.0464,train acc = 0.5283, train f1 = 0.5283, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 26, D_loss = 0.9520,G_loss = 1.2214,train acc = 0.4702, train f1 = 0.4702, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 27, D_loss = 0.9506,G_loss = 1.2229,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 28, D_loss = 0.9510,G_loss = 1.2240,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 29, D_loss = 0.9521,G_loss = 1.2232,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 30, D_loss = 0.9508,G_loss = 1.2244,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 31, D_loss = 0.9509,G_loss = 1.2250,train acc = 0.4911, train f1 = 0.4911, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 32, D_loss = 0.9508,G_loss = 1.2241,train acc = 0.4643, train f1 = 0.4643, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 33, D_loss = 0.9508,G_loss = 1.2238,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 34, D_loss = 0.9515,G_loss = 1.2269,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 35, D_loss = 0.9492,G_loss = 1.2299,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 36, D_loss = 0.9518,G_loss = 1.2254,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 37, D_loss = 0.9502,G_loss = 1.2249,train acc = 0.4732, train f1 = 0.4732, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 38, D_loss = 0.9499,G_loss = 1.2248,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 39, D_loss = 0.9514,G_loss = 1.2242,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 40, D_loss = 0.9507,G_loss = 1.2241,train acc = 0.4911, train f1 = 0.4911, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 41, D_loss = 0.9505,G_loss = 1.2247,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 42, D_loss = 0.9508,G_loss = 1.2247,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 43, D_loss = 0.9504,G_loss = 1.2242,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 44, D_loss = 0.9510,G_loss = 1.2229,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 45, D_loss = 0.9499,G_loss = 1.2261,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 46, D_loss = 0.9495,G_loss = 1.2247,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 47, D_loss = 0.9507,G_loss = 1.2239,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 48, D_loss = 0.9512,G_loss = 1.2226,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 49, D_loss = 0.9507,G_loss = 1.2232,train acc = 0.4494, train f1 = 0.4494, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 50, D_loss = 0.9505,G_loss = 1.2245,train acc = 0.5179, train f1 = 0.5179, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 51, D_loss = 0.9511,G_loss = 1.2234,train acc = 0.4702, train f1 = 0.4702, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 52, D_loss = 0.9513,G_loss = 1.2230,train acc = 0.4583, train f1 = 0.4583, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 53, D_loss = 0.9496,G_loss = 1.2244,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 54, D_loss = 0.9497,G_loss = 1.2274,train acc = 0.5208, train f1 = 0.5208, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 55, D_loss = 0.9499,G_loss = 1.2237,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 56, D_loss = 0.9512,G_loss = 1.2240,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 57, D_loss = 0.9499,G_loss = 1.2244,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 58, D_loss = 0.9501,G_loss = 1.2255,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 59, D_loss = 0.9504,G_loss = 1.2222,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 60, D_loss = 0.9507,G_loss = 1.2233,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 61, D_loss = 0.9500,G_loss = 1.2253,train acc = 0.4732, train f1 = 0.4732, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 62, D_loss = 0.9491,G_loss = 1.2239,train acc = 0.4673, train f1 = 0.4673, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 63, D_loss = 0.9509,G_loss = 1.2240,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 64, D_loss = 0.9505,G_loss = 1.2237,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 65, D_loss = 0.9503,G_loss = 1.2224,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 66, D_loss = 0.9500,G_loss = 1.2248,train acc = 0.5119, train f1 = 0.5119, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 67, D_loss = 0.9501,G_loss = 1.2247,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 68, D_loss = 0.9484,G_loss = 1.2261,train acc = 0.5089, train f1 = 0.5089, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 69, D_loss = 0.9504,G_loss = 1.2223,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 70, D_loss = 0.9514,G_loss = 1.2251,train acc = 0.4702, train f1 = 0.4702, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 71, D_loss = 0.9504,G_loss = 1.2263,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 72, D_loss = 0.9509,G_loss = 1.2215,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 73, D_loss = 0.9488,G_loss = 1.2260,train acc = 0.4911, train f1 = 0.4911, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 74, D_loss = 0.9507,G_loss = 1.2273,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 75, D_loss = 0.9498,G_loss = 1.2248,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 76, D_loss = 0.9495,G_loss = 1.2223,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 77, D_loss = 0.9497,G_loss = 1.2252,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 78, D_loss = 0.9503,G_loss = 1.2252,train acc = 0.4702, train f1 = 0.4702, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 79, D_loss = 0.9506,G_loss = 1.2253,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 80, D_loss = 0.9512,G_loss = 1.2251,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 81, D_loss = 0.9482,G_loss = 1.2258,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 82, D_loss = 0.9496,G_loss = 1.2241,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 83, D_loss = 0.9499,G_loss = 1.2276,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 84, D_loss = 0.9489,G_loss = 1.2248,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 85, D_loss = 0.9505,G_loss = 1.2246,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 86, D_loss = 0.9500,G_loss = 1.2229,train acc = 0.4673, train f1 = 0.4673, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 87, D_loss = 0.9494,G_loss = 1.2281,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 88, D_loss = 0.9508,G_loss = 1.2231,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 89, D_loss = 0.9495,G_loss = 1.2227,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 90, D_loss = 0.9500,G_loss = 1.2245,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 91, D_loss = 0.9500,G_loss = 1.2218,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 92, D_loss = 0.9509,G_loss = 1.2245,train acc = 0.4896, train f1 = 0.4896, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 93, D_loss = 0.9497,G_loss = 1.2246,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 94, D_loss = 0.9500,G_loss = 1.2243,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 95, D_loss = 0.9491,G_loss = 1.2242,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 96, D_loss = 0.9500,G_loss = 1.2269,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 97, D_loss = 0.9497,G_loss = 1.2260,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 98, D_loss = 0.9503,G_loss = 1.2240,train acc = 0.4405, train f1 = 0.4405, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 99, D_loss = 0.9463,G_loss = 1.2264,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 100, D_loss = 0.9496,G_loss = 1.2261,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 101, D_loss = 0.9503,G_loss = 1.2235,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 102, D_loss = 0.9501,G_loss = 1.2247,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 103, D_loss = 0.9487,G_loss = 1.2261,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 104, D_loss = 0.9499,G_loss = 1.2252,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 105, D_loss = 0.9502,G_loss = 1.2247,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 106, D_loss = 0.9495,G_loss = 1.2256,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 107, D_loss = 0.9498,G_loss = 1.2246,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 108, D_loss = 0.9496,G_loss = 1.2237,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 109, D_loss = 0.9504,G_loss = 1.2261,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 110, D_loss = 0.9500,G_loss = 1.2239,train acc = 0.4732, train f1 = 0.4732, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 111, D_loss = 0.9499,G_loss = 1.2246,train acc = 0.4911, train f1 = 0.4911, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 112, D_loss = 0.9491,G_loss = 1.2245,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 113, D_loss = 0.9495,G_loss = 1.2273,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 114, D_loss = 0.9493,G_loss = 1.2249,train acc = 0.4970, train f1 = 0.4970, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 115, D_loss = 0.9502,G_loss = 1.2239,train acc = 0.4673, train f1 = 0.4673, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 116, D_loss = 0.9499,G_loss = 1.2241,train acc = 0.5000, train f1 = 0.5000, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 117, D_loss = 0.9500,G_loss = 1.2241,train acc = 0.4613, train f1 = 0.4613, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 118, D_loss = 0.9508,G_loss = 1.2231,train acc = 0.4702, train f1 = 0.4702, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 119, D_loss = 0.9502,G_loss = 1.2235,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 120, D_loss = 0.9495,G_loss = 1.2244,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 121, D_loss = 0.9494,G_loss = 1.2237,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 122, D_loss = 0.9497,G_loss = 1.2249,train acc = 0.4702, train f1 = 0.4702, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 123, D_loss = 0.9503,G_loss = 1.2223,train acc = 0.5089, train f1 = 0.5089, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 124, D_loss = 0.9503,G_loss = 1.2224,train acc = 0.4821, train f1 = 0.4821, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 125, D_loss = 0.9494,G_loss = 1.2239,train acc = 0.5208, train f1 = 0.5208, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 126, D_loss = 0.9503,G_loss = 1.2237,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 127, D_loss = 0.9503,G_loss = 1.2251,train acc = 0.4732, train f1 = 0.4732, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 128, D_loss = 0.9503,G_loss = 1.2226,train acc = 0.4435, train f1 = 0.4435, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 129, D_loss = 0.9497,G_loss = 1.2255,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 130, D_loss = 0.9497,G_loss = 1.2247,train acc = 0.4643, train f1 = 0.4643, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 131, D_loss = 0.9502,G_loss = 1.2246,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 132, D_loss = 0.9485,G_loss = 1.2248,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 133, D_loss = 0.9503,G_loss = 1.2242,train acc = 0.4792, train f1 = 0.4792, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
